text,alias,ipa,category,telnyx_naturalhd_verdict
risankizumab,RIS-an-KIZ-ue-mab,ˌrɪsæŋˈkɪzjʊˌmæb,drug,HURTS
tildrakizumab,TIL-dra-KIZ-ue-mab,tɪlˈdrækɪzjʊˌmæb,drug,WASH
abatacept,a-BAT-a-sept,ˌæbəˈtæsɛpt,drug,WASH
leflunomide,le-FLOO-no-mide,ˌlɛfˈluːnəˌmaɪd,drug,WASH
sulfasalazine,SUL-fa-SAL-a-zeen,ˌsʌlfəˈsæləˌziːn,drug,WASH
hydroxychloroquine,hy-DROX-ee-KLOR-oh-kween,haɪˌdrɑksiˈklɔrəˌkwin,drug,WASH
azathioprine,AY-za-THYE-oh-preen,ˌæzəˈθaɪəˌpriːn,drug,WASH
mycophenolate,MYE-koe-FEN-oh-late,ˌmaɪkoʊˈfɛnəˌleɪt,drug,WASH
tacrolimus,ta-KROE-li-mus,təˈkroʊlɪməs,drug,WASH
cyclosporine,SYE-kloe-SPOR-een,ˌsaɪkloʊˈspɔriːn,drug,HURTS
sirolimus,sir-OH-li-mus,sɪˈroʊlɪməs,drug,WASH
everolimus,e-VER-oh-LI-mus,ɛˈvɛrəlɪməs,drug,WASH
levodopa,LEE-voe-DOE-pa,ˌlɛvoʊˈdoʊpə,drug,WASH
carbidopa,KAR-bi-DOE-pa,ˌkɑrbɪˈdoʊpə,drug,HURTS
pramipexole,PRAM-i-PEX-ole,ˌpræmɪˈpɛksoʊl,drug,HELPS
ropinirole,roe-PIN-i-role,roʊˈpɪnəˌroʊl,drug,WASH
rotigotine,roe-TIG-oh-teen,roʊˈtɪɡəˌtiːn,drug,HURTS
amantadine,a-MAN-ta-deen,əˈmæntəˌdiːn,drug,WASH
entacapone,en-TAK-a-pone,ɛnˈtækəˌpoʊn,drug,HURTS
safinamide,sa-FIN-a-mide,səˈfɪnəˌmaɪd,drug,WASH
apomorphine,AP-oh-MOR-feen,ˌæpəˈmɔrfiːn,drug,WASH
donepezil,doe-NEP-e-zil,doʊˈnɛpəzɪl,drug,HELPS
rivastigmine,riv-uh-STIG-meen,ˌrɪvəˈstɪɡmiːn,drug,HURTS
galantamine,guh-LAN-tuh-meen,ɡəˈlæntəmiːn,drug,WASH
memantine,muh-MAN-teen,məˈmæntiːn,drug,HURTS
glatiramer,gluh-TIR-uh-mer,ɡləˈtɪrəmər,drug,HURTS
fingolimod,fin-GOL-ih-mod,fɪŋˈɡɒlɪmɒd,drug,HURTS
dimethyl fumarate,die-METH-ul FYOO-muh-rate,daɪˈmɛθəl ˈfjuməˌreɪt,drug,HURTS
teriflunomide,ter-ih-FLOO-noh-mide,ˌtɛrɪˈflunəmaɪd,drug,HURTS
ozanimod,oh-ZAN-ih-mod,oʊˈzænɪmɒd,drug,WASH
siponimod,sih-PON-ih-mod,sɪˈpɒnɪmɒd,drug,HURTS
natalizumab,na-tal-IZ-uh-mab,ˌnætəˈlɪzʊmæb,drug,HURTS
ocrelizumab,ok-re-LIZ-uh-mab,ˌɒkrɪˈlɪzʊmæb,drug,HURTS
ofatumumab,oh-fuh-TOO-muh-mab,ˌɒfəˈtumʊmæb,drug,HURTS
fumarate,FYOO-muh-rate,ˈfjuməˌreɪt,drug,WASH
levothyroxine,lee-voh-thigh-ROX-een,ˌliːvoʊθaɪˈrɒksiːn,drug,WASH
prednisone,PRED-nih-zone,ˈprɛdnɪsoʊn,drug,WASH
prednisolone,pred-NIS-oh-lone,prɛdˈnɪsəloʊn,drug,WASH
methylprednisolone,METH-ul-pred-NIS-oh-lone,ˌmɛθəlprɛdˈnɪsəloʊn,drug,WASH
hydrocortisone,HIGH-dro-KOR-tih-zone,ˌhaɪdroʊˈkɔːrtɪsoʊn,drug,WASH
dexamethasone,dex-uh-METH-uh-zone,ˌdɛksəˈmɛθəsoʊn,drug,HURTS
fludrocortisone,floo-dro-KOR-tih-zone,ˌfludroʊˈkɔːrtɪsoʊn,drug,HELPS
alendronate,uh-LEN-dro-nate,əˈlɛndrəneɪt,drug,WASH
risedronate,rih-SED-ro-nate,rɪˈsɛdrəneɪt,drug,HELPS
ibandronate,ih-BAN-dro-nate,ɪˈbændrəneɪt,drug,WASH
zoledronic acid,zoh-leh-DRON-ik AS-id,zoʊˈlɛdrɒnɪk ˈæsɪd,drug,HURTS
denosumab,den-OH-suh-mab,dəˈnoʊsʊmæb,drug,WASH
teriparatide,ter-ih-PAR-uh-tide,ˌtɛrɪˈpærətaɪd,drug,HURTS
raloxifene,ral-OX-ih-feen,ræˈlɒksɪfiːn,drug,HURTS
calcitonin,kal-sih-TONE-in,ˌkælsɪˈtoʊnɪn,drug,WASH
tadalafil,tuh-DAF-ih-lil,təˈdælɪfɪl,drug,WASH
sildenafil,sil-DEN-uh-fil,sɪlˈdɛnəfɪl,drug,HELPS
vardenafil,var-DEN-ah-fil,vɑrˈdɛnəfɪl,drug,WASH
finasteride,fin-AS-ter-ide,fɪˈnæstəˌraɪd,drug,HURTS
dutasteride,doo-TAS-ter-ide,duˈtæstəˌraɪd,drug,HURTS
tamsulosin,tam-SOO-loh-sin,tæmˈsuːləsɪn,drug,WASH
silodosin,si-LOH-doh-sin,sɪˈloʊdəsɪn,drug,WASH
alfuzosin,al-FOO-zoh-sin,ælˈfjuːzəsɪn,drug,WASH
oxybutynin,ok-see-BYOO-ti-nin,ˌɑksɪˈbjuːtɪnɪn,drug,HURTS
tolterodine,tol-TER-oh-deen,tɔlˈtɛrəˌdiːn,drug,HURTS
solifenacin,sol-i-FEN-ah-sin,ˌsoʊlɪˈfɛnəsɪn,drug,WASH
darifenacin,dar-i-FEN-ah-sin,ˌdærɪˈfɛnəsɪn,drug,HELPS
mirabegron,mir-ah-BEG-ron,mɪˈræbəˌɡrɑn,drug,HURTS
phenazopyridine,fen-az-oh-PYR-i-deen,fəˌnæzoʊˈpɪrɪdiːn,drug,WASH
hydroxyzine,hy-DROK-si-zeen,haɪˈdrɑksɪˌziːn,drug,WASH
fexofenadine,fek-soh-FEN-ah-deen,ˌfɛksoʊˈfɛnəˌdiːn,drug,HURTS
loratadine,lor-AT-ah-deen,lɔˈrætəˌdiːn,drug,WASH
cetirizine,se-TIR-i-zeen,səˈtɪrɪˌziːn,drug,HURTS
diphenhydramine,dy-fen-HY-drah-meen,ˌdaɪfɛnˈhaɪdrəˌmiːn,drug,HURTS
chlorpheniramine,klor-fen-EER-ah-meen,ˌklɔrfɛnˈɪrəˌmiːn,drug,HELPS
azelastine,ah-ZEL-ah-steen,əˈzɛləˌstiːn,drug,WASH
olopatadine,oh-loh-PAT-ah-deen,ˌoʊloʊˈpætəˌdiːn,drug,HURTS
modafinil,mo-DAF-i-nil,moʊˈdæfɪnɪl,drug,WASH
armodafinil,ar-mo-DAF-i-nil,ˌɑrmoʊˈdæfɪnɪl,drug,HELPS
sumatriptan,soo-mah-TRIP-tan,ˌsuːməˈtrɪpˌtæn,drug,HELPS
rizatriptan,ry-zah-TRIP-tan,ˌraɪzəˈtrɪpˌtæn,drug,WASH
zolmitriptan,zohl-mi-TRIP-tan,zoʊlˈmɪtrɪpˌtæn,drug,HELPS
eletriptan,el-e-TRIP-tan,ˌɛləˈtrɪpˌtæn,drug,WASH
almotriptan,al-moh-TRIP-tan,ˌælmoʊˈtrɪpˌtæn,drug,HELPS
frovatriptan,froh-vah-TRIP-tan,ˌfroʊvəˈtrɪpˌtæn,drug,HELPS
naratriptan,nar-ah-TRIP-tan,ˌnærəˈtrɪpˌtæn,drug,HELPS
ubrogepant,yoo-BROH-jeh-pant,juːˈbroʊdʒəˌpænt,drug,HELPS
rimegepant,rih-MEH-jeh-pant,rɪˈmɛdʒɪpænt,drug,HELPS
erenumab,eh-REH-nyoo-mab,ɛˈrɛnjʊmæb,drug,WASH
fremanezumab,freh-mah-NEH-zoo-mab,friˈmænɪzʊmæb,drug,WASH
galcanezumab,gal-kah-NEH-zoo-mab,ɡælˈkænɪzʊmæb,drug,WASH
eprodual,eh-PROH-dool,ɛˈprɑduəl,drug,HELPS
onabotulinumtoxinA,on-ah-BOT-yoo-ly-num-TOX-in ay,ɑnəbəˌtulɪnəmˈtɑksɪn eɪ,drug,HURTS
MI,myocardial infarction,ˌmaɪəˈkɑrdiəl ɪnˈfɑrkʃən,acronym,HELPS
COPD,chronic obstructive pulmonary disease,ˈkrɑnɪk əbˈstrʌktɪv ˈpʊlməˌnɛri dɪˈziz,acronym,HELPS
CHF,congestive heart failure,kənˈdʒɛstɪv hɑrt ˈfeljɚ,acronym,HELPS
UTI,urinary tract infection,ˈjʊrəˌnɛri trækt ɪnˈfɛkʃən,acronym,HELPS
MRI,magnetic resonance imaging,mæɡˈnɛtɪk ˈrɛzənəns ˈɪmɪdʒɪŋ,acronym,HELPS
CT,computed tomography,kəmˈpjutɪd təˈmɑɡrəfi,acronym,HELPS
EKG,electrocardiogram,ɪˌlɛktroʊkɑrdiˈɑɡrəm,acronym,HELPS
ECG,electrocardiogram,ɪˌlɛktroʊˈkɑrdiəˌɡræm,acronym,HELPS
EEG,electroencephalogram,ɪˌlɛktroʊɛnˈsɛfələˌɡræm,acronym,HELPS
BUN,blood urea nitrogen,blʌd jʊˈriə ˈnaɪtrədʒən,acronym,HELPS
CMP,comprehensive metabolic panel,ˌkɑmprɪˈhɛnsɪv ˌmɛtəˈbɑlɪk ˈpænəl,acronym,HELPS
CBC,complete blood count,kəmˈplit blʌd kaʊnt,acronym,HELPS
TSH,thyroid stimulating hormone,ˈθaɪrɔɪd ˈstɪmjəˌletɪŋ ˈhɔrmoʊn,acronym,HELPS
HbA1c,hemoglobin A one C,ˌhimoʊˈɡloʊbɪn eɪ wʌn si,acronym,HELPS
PT,prothrombin time,proʊˈθrɑmbɪn taɪm,acronym,HELPS
INR,international normalized ratio,ˌɪntɚˈnæʃənəl ˈnɔrməˌlaɪzd ˈreɪʃioʊ,acronym,HELPS
PTT,partial thromboplastin time,ˈpɑrʃəl ˌθrɑmboʊˈplæstɪn taɪm,acronym,HELPS
DVT,deep vein thrombosis,dip ven θrɑmˈboʊsɪs,acronym,HELPS
PE,pulmonary embolism,ˈpʊlməˌnɛri ˈɛmbəˌlɪzəm,acronym,HELPS
CVA,cerebrovascular accident,ˌsɛrəbroʊˈvæskjəlɚ ˈæksɪdənt,acronym,HELPS
TIA,transient ischemic attack,ˈtrænziənt ɪsˈkimɪk əˈtæk,acronym,HELPS
ICU,intensive care unit,ɪnˈtɛnsɪv kɛr ˈjunɪt,acronym,HELPS
NICU,neonatal intensive care unit,ˌnioʊˈneɪtəl ɪnˈtɛnsɪv kɛr ˈjunɪt,acronym,HELPS
ER,emergency room,ɪˈmɜrdʒənsi rum,acronym,HELPS
ED,emergency department,ɪˈmɜrdʒənsi dɪˈpɑrtmənt,acronym,HELPS
OR,operating room,ˈɑpəˌretɪŋ rum,acronym,HELPS
PACU,post-anesthesia care unit,poʊst ˌænəsˈθiʒə kɛr ˈjunɪt,acronym,HELPS
CCU,coronary care unit,ˈkɔrəˌnɛri kɛr ˈjunɪt,acronym,HELPS
SICU,surgical intensive care unit,ˈsɜrdʒɪkəl ɪnˈtɛnsɪv kɛr ˈjunɪt,acronym,HELPS
MICU,medical intensive care unit,ˈmɛdɪkəl ɪnˈtɛnsɪv kɛr ˈjunɪt,acronym,HELPS
BP,blood pressure,ˈblʌd ˈprɛʃɚ,acronym,HELPS
HR,heart rate,ˈhɑrt ˈreɪt,acronym,HELPS
RR,respiratory rate,ˈrɛspɚəˌtɔri ˈreɪt,acronym,HELPS
SpO2,saturation of peripheral oxygen,ˌsætʃəˈreɪʃən ʌv pəˈrɪfɚəl ˈɑksɪdʒən,acronym,HELPS
ETCO2,end-tidal carbon dioxide,ˌɛndˈtaɪdəl ˈkɑrbən daɪˈɑksaɪd,acronym,HELPS
IV,intravenous,ˌɪntrəˈvinəs,acronym,HELPS
IM,intramuscular,ˌɪntrəˈmʌskjəlɚ,acronym,HELPS
SC,subcutaneous,ˌsʌbkjuˈteɪniəs,acronym,HELPS
PO,by mouth,baɪ ˈmaʊθ,acronym,HELPS
PR,per rectum,pɚ ˈrɛktəm,acronym,HELPS
SL,sublingual,sʌbˈlɪŋɡwəl,acronym,HELPS
OD,right eye,ˈraɪt ˈaɪ,acronym,WASH
OS,left eye,ˈlɛft ˈaɪ,acronym,HELPS
OU,both eyes,ˈboʊθ ˈaɪz,acronym,HELPS
AU,both ears,ˈboʊθ ˈɪrz,acronym,HELPS
AD,right ear,ˈraɪt ˈɪr,acronym,HELPS
AS,left ear,ˈlɛft ˈɪr,acronym,HELPS
APAP,acetaminophen,əˌsitəˈmɪnəfən,acronym,HELPS
NSAID,non-steroidal anti-inflammatory drug,ˌnɑnstɛˈrɔɪdəl ˌæntiɪnˈflæməˌtɔri ˈdrʌɡ,acronym,HELPS
PPI,proton pump inhibitor,ˈproʊtɑn ˈpʌmp ɪnˈhɪbɪtɚ,acronym,HELPS
ARB,angiotensin receptor blocker,ˌændʒioʊˈtɛnsɪn riˈsɛptɚ ˈblɑkɚ,acronym,HELPS
ACE,angiotensin-converting enzyme,ˌændʒioʊˈtɛnsɪn kənˈvɝtɪŋ ˈɛnzaɪm,acronym,HELPS
BB,beta blocker,ˈbeɪtə ˈblɑkɚ,acronym,HELPS
CCB,calcium channel blocker,ˈkælsiəm ˈtʃænəl ˈblɑkɚ,acronym,HELPS
SSRI,se-lek-TIV ser-uh-TON-in re-UP-take in-HIB-i-ter,sɪˈlɛktɪv ˌsɛrəˈtoʊnɪn riˈʌpteɪk ɪnˈhɪbɪtɚ,acronym,HELPS
SNRI,se-LEK-tiv ser-uh-TON-in nor-e-PIN-e-frin re-UP-take in-HIB-i-ter,sɪˈlɛktɪv ˌsɛrəˈtoʊnɪn ˌnɔrɛˈpɪnəfrɪn riˈʌpteɪk ɪnˈhɪbɪtɚ,acronym,HELPS
TCA,tri-SIK-lik an-TI-de-PRE-sant,traɪˈsɪklɪk ˌæntidɪˈprɛsənt,acronym,HELPS
MAOI,mono-amine OK-si-DASE in-HIB-i-ter,ˌmɑnoʊəˈmin ˈɑksɪdeɪs ɪnˈhɪbɪtɚ,acronym,HELPS
DM,di-a-BE-teez mel-LI-tus,ˌdaɪəˈbitiz məˈlaɪtəs,acronym,HELPS
HTN,hi-per-TEN-shun,ˌhaɪpɚˈtɛnʃən,acronym,HELPS
HLD,hi-per-LIP-i-dee-mee-uh,ˌhaɪpɚˈlɪpɪˌdimiə,acronym,HELPS
CAD,co-ROH-ner-ee AR-ter-ee di-ZEEZ,kəˈroʊnɚi ˈɑrtɚi dɪˈziz,acronym,HELPS
PVD,per-i-FER-ul vas-KYOO-ler di-ZEEZ,ˌpɛrɪˈfɛrəl ˈvæskjulɚ dɪˈziz,acronym,HELPS
CKD,kron-ik KID-nee di-ZEEZ,ˈkrɑnɪk ˈkɪdni dɪˈziz,acronym,HELPS
ESRD,end-STAGE re-NAL di-ZEEZ,ˈɛndˌsteɪdʒ ˈrinəl dɪˈziz,acronym,HELPS
AKI,ak-YOOT KID-nee in-JER-ee,əˈkjut ˈkɪdni ˈɪndʒɚi,acronym,HELPS
ASTHMA,AZ-muh,ˈæzmə,acronym,HELPS
GERD,gas-tro-es-uh-FAJ-ul re-FLUKS di-ZEEZ,ˌɡæstroʊˌɛsəˈfædʒəl riˈflʌks dɪˈziz,acronym,HELPS
IBD,in-FLAM-a-tor-ee bo-WEL di-ZEEZ,ɪnˈflæməˌtɔri ˈbaʊəl dɪˈziz,acronym,HELPS
IBS,i-RI-ta-bul bo-WEL SIN-drom,ˈɪrɪtəbəl ˈbaʊəl ˈsɪndroʊm,acronym,HELPS
NASH,non-al-ka-ho-LIK ste-to-hep-a-TI-tis,ˌnɑnˌælkəˈhɑlɪk ˌstɛtoʊˌhɛpəˈtaɪtɪs,acronym,HELPS
NAFLD,non-al-ka-ho-LIK FAT-ee li-VER di-ZEEZ,ˌnɑnˌælkəˈhɑlɪk ˈfæti ˈlɪvɚ dɪˈziz,acronym,HELPS
HCC,he-PAT-o-sel-YOO-ler kar-si-NO-ma,həˈpætoʊˌsɛljulɚ ˌkɑrsɪˈnoʊmə,acronym,HELPS
ALL,ak-YOOT lym-fo-BLAS-tik le-KEE-mee-uh,əˈkjut ˌlɪmfoʊˈblæstɪk lɪˈkimiə,acronym,HELPS
AML,ak-YOOT my-eh-LOYD le-KEE-mee-uh,əˈkjut ˌmaɪəˈlɔɪd lɪˈkimiə,acronym,HELPS
CLL,kron-ik lym-fo-SIT-ik le-KEE-mee-uh,ˈkrɑnɪk ˌlɪmfoʊˈsɪtɪk lɪˈkimiə,acronym,HELPS
CML,kron-ik my-eh-LOY-deh-ner-tiv le-KEE-mee-uh,ˈkrɑnɪk ˌmaɪəˈlɔɪdɪˌnɛrtɪv lɪˈkimiə,acronym,HELPS
NHL,non-HOJ-kin lym-FO-ma,ˌnɑnˈhɑdʒkɪn lɪmˈfoʊmə,acronym,HELPS
Hodgkin,HOJ-kin,ˈhɑdʒkɪn,acronym,WASH
MM,mul-TI-pul my-eh-LO-ma,ˈmʌltɪpəl ˌmaɪəˈloʊmə,acronym,HELPS
SLE,sis-TEM-ik loo-PUS er-i-thee-ma-TO-sus,sɪˈstɛmɪk luˈpus ˌɛrɪˌθiməˈtoʊsəs,acronym,HELPS
RA,rew-ma-TOYD ar-THRI-tis,ˌruməˈtɔɪd ɑrˈθraɪtɪs,acronym,HELPS
OA,os-tee-o-ar-THRI-tis,ˌɑstioʊɑrˈθraɪtɪs,acronym,HELPS
DJD,de-JEN-er-a-tiv jint di-ZEEZ,dɪˈdʒɛnɚətɪv ˈdʒɪnt dɪˈziz,acronym,HELPS
GOUT,gowt,ɡˈaʊt,acronym,WASH
MG,myasthenia gravis,ˌmaɪəsˈθiniə ˈɡrævɪs,acronym,HELPS
MS,multiple sclerosis,ˈmʌltɪpəl skləˈroʊsɪs,acronym,HELPS
ALS,amyotrophic lateral sclerosis,əˌmaɪəˈtrɑfɪk ˈlætɚəl skləˈroʊsɪs,acronym,HELPS
GBS,Guillain-Barré syndrome,ɡiˈjæn bəˈreɪ ˈsɪndroʊm,acronym,HELPS
TBI,traumatic brain injury,trəˈmætɪk ˈbreɪn ˈɪndʒɚi,acronym,HELPS
PD,Parkinson disease,ˈpɑrkɪnsən dɪˌziːz,acronym,HELPS
HD,Huntington disease,ˈhʌntɪŋtən dɪˌziːz,acronym,HELPS
CJD,Creutzfeldt-Jakob disease,ˈkrɔɪtsfɛlt ˈjɑkɑb dɪˌziːz,acronym,HELPS
SCI,spinal cord injury,ˈspaɪnəl kɔrd ˈɪndʒəri,acronym,HELPS
CA,cancer,ˈkænsɚ,acronym,HELPS
N/V,nausea and vomiting,ˈnɔziə ənd ˈvɑmɪtɪŋ,acronym,HELPS
SOB,shortness of breath,ˈʃɔrtnəs əv brɛθ,acronym,HELPS
CP,cerebral palsy,səˈribrəl ˈpɔlzi,acronym,HELPS
N/V/D,nausea vomiting and diarrhea,ˈnɔziə ˈvɑmɪtɪŋ ən ˌdaɪəˈriə,acronym,HELPS
LOC,loss of consciousness,ˈlɔs əv ˈkɑnʃəsnəs,acronym,HELPS
GCS,Glasgow Coma Scale,ˈɡlæsɡoʊ ˈkoʊmə skeɪl,acronym,HELPS
HEENT,head eyes ears nose and throat,hˈɛd aɪz ɪrz noʊz ən θroʊt,acronym,HELPS
CV,cardiovascular,ˌkɑrdioʊˈvæskjəlɚ,acronym,HELPS
GI,gastrointestinal,ˌɡæstroʊɪnˈtɛstənəl,acronym,HELPS
GU,genitourinary,ˌdʒɛnɪtoʊˈjʊrɪnɛri,acronym,HELPS
MSK,musculoskeletal,ˌmʌskjəloʊˈskɛlətəl,acronym,HELPS
Neuro,NEU-roh,ˈnʊroʊ,acronym,HELPS
Psych,SYKE,sˈaɪk,acronym,WASH
Derm,derm,ˈdɝm,acronym,WASH
ENT,ear nose and throat,ˈɪr noʊz ən θroʊt,acronym,HELPS
OB,obstetrics,əbˈstɛtrɪks,acronym,HELPS
GYN,gynecology,ˌɡaɪnəˈkɑlədʒi,acronym,HELPS
LMP,last menstrual period,læst ˈmɛnstruəl ˈpɪriəd,acronym,HELPS
EDC,estimated date of confinement,ˈɛstɪˌmeɪtɪd deɪt əv kənˈfaɪnmənt,acronym,HELPS
Gest,gest,dʒˈɛst,acronym,WASH
NS,normal saline,ˈnɔrməl səˈliːn,acronym,HELPS
LR,lactated Ringer's,ˈlækteɪtɪd ˈrɪŋɚz,acronym,HELPS
D5W,D-five-W,dˈiː faɪv dʌbəlju,acronym,WASH
D5NS,D-five-N-S,dˈiː faɪv ɛn ɛs,acronym,WASH
D5LR,D-five-L-R,dˈiː faɪv ɛl ɑr,acronym,WASH
KCl,potassium chloride,pəˈtæsiəm ˈklɔraɪd,acronym,HELPS
MgSO4,mag-NEE-zee-um sul-FATE,mæɡˈniːziəm sʌlˈfeɪt,acronym,HELPS
CaCl2,KAL-see-um KLOR-ide,ˈkælsiəm ˈklɔraɪd,acronym,HELPS
NaHCO3,SOD-ee-um hye-DROK-sah-dye KAR-bo-nate,ˈsoʊdiəm haɪˈdrɑksədaɪ kɑrˈboʊneɪt,acronym,HELPS
ABG,arterial blood gas,ɑrˈtɪriəl blʌd ɡæs,acronym,HELPS
VBG,venous blood gas,ˈviːnəs blʌd ɡæs,acronym,HELPS
LP,lumbar puncture,ˈlʌmbɚ ˈpʌŋktʃɚ,acronym,HELPS
BM,bowel movement,ˈbaʊəl ˈmuːvmənt,acronym,HELPS
PEG,PEG,pˈɛɡ,acronym,WASH
ICD,implantable cardioverter defibrillator,ɪmˈplæntəbəl ˈkɑrdioʊvɝtɚ diˈfɪbrɪleɪtɚ,acronym,HELPS
Pacemaker,PACE-may-ker,ˈpeɪsmeɪkɚ,acronym,WASH
AICD,automatic implantable cardioverter defibrillator,ˌɔtəˈmætɪk ɪmˈplæntəbəl ˈkɑrdioʊvɝtɚ diˈfɪbrɪleɪtɚ,acronym,HELPS
CABG,cabbage,ˈkæbɪdʒ,acronym,WASH
PCI,percutaneous coronary intervention,ˌpɝkjuˈteɪniəs ˈkɔrəˌnɛri ˌɪntɚˈvɛnʃən,acronym,HELPS
TAVR,TAH-ver,ˈtɑvɚ,acronym,HELPS
TEVAR,TEV-ar,ˈtɛvɚ,acronym,HELPS
EVAR,EE-var,ˈivɚ,acronym,HURTS
PTCA,percutaneous transluminal coronary angioplasty,ˌpɝkjuˈteɪniəs trænsˈluːmɪnəl ˈkɔrəˌnɛri ˈændʒioʊˌplæsti,acronym,HELPS
ETOH,alcohol,ˈælkəˌhɔl,acronym,HELPS
IVDU,I-V drug use,ˌaɪˈvi drʌɡ ˈjuːs,acronym,HELPS
ASA,ASPIR-in,ˈæspɚɪn,acronym,HELPS
NYD,not yet diagnosed,nɑt jɛt ˌdaɪəɡˈnoʊzd,acronym,HELPS
HX,history,ˈhɪstɚi,acronym,HURTS
Sx,symptoms,ˈsɪmptəmz,acronym,HELPS
Tx,treatment,ˈtriːtmənt,acronym,HELPS
Dx,diagnosis,ˌdaɪəɡˈnoʊsɪs,acronym,HELPS
Rx,prescription,prɪˈskrɪpʃən,acronym,HELPS
FHx,family history,ˈfæməli ˈhɪstɚi,acronym,HELPS
SHx,social history,ˈsoʊʃəl ˈhɪstɚi,acronym,HELPS
myocardial infarction,my-oh-KAR-dee-al in-FARK-shun,ˌmaɪəˈkɑːrdiəl ɪnˈfɑːrkʃən,clinical,HURTS
angina pectoris,an-JY-nah PEK-tor-is,ænˈdʒaɪnə ˈpɛktərɪs,clinical,WASH
arrhythmia,a-RITH-mee-ah,əˈrɪðmiə,clinical,HURTS
atrial fibrillation,AY-tree-al fib-ri-LAY-shun,ˈeɪtriəl ˌfɪbrɪˈleɪʃən,clinical,HURTS
ventricular fibrillation,ven-TRIK-yoo-lar fib-ri-LAY-shun,vɛnˈtrɪkjələr ˌfɪbrɪˈleɪʃən,clinical,WASH
tachycardia,tak-ee-KAR-dee-ah,ˌtækiˈkɑːrdiə,clinical,HURTS
bradycardia,brad-ee-KAR-dee-ah,ˌbrædiˈkɑːrdiə,clinical,HURTS
hypertension,hy-per-TEN-shun,ˌhaɪpərˈtɛnʃən,clinical,HURTS
hypotension,hy-poh-TEN-shun,ˌhaɪpoʊˈtɛnʃən,clinical,WASH
atherosclerosis,ath-er-oh-skleh-ROH-sis,ˌæθəroʊskləˈroʊsɪs,clinical,HURTS
endocarditis,en-doh-kar-DY-tis,ˌɛndoʊkɑːrˈdaɪtɪs,clinical,HURTS
pericarditis,per-ee-kar-DY-tis,ˌpɛrɪkɑːrˈdaɪtɪs,clinical,HURTS
myocarditis,my-oh-kar-DY-tis,ˌmaɪoʊkɑːrˈdaɪtɪs,clinical,WASH
cardiomyopathy,kar-dee-oh-my-OP-ah-thee,ˌkɑːrdioʊmaɪˈɑːpəθi,clinical,WASH
thromboembolism,throm-boh-EM-boh-liz-um,ˌθrɑːmboʊˈɛmbəlɪzəm,clinical,HURTS
thrombophlebitis,throm-boh-fleh-BY-tis,ˌθrɑːmboʊflɪˈbaɪtɪs,clinical,WASH
phlebitis,fleh-BY-tis,flɪˈbaɪtɪs,clinical,WASH
embolism,EM-boh-liz-um,ˈɛmbəlɪzəm,clinical,WASH
stenosis,steh-NOH-sis,stɪˈnoʊsɪs,clinical,HURTS
regurgitation,ree-gur-ji-TAY-shun,rɪˌɡɝːdʒɪˈteɪʃən,clinical,WASH
prolapse,proh-LAPS,proʊˈlæps,clinical,WASH
aneurysm,AN-yoo-riz-um,ˈænjərɪzəm,clinical,HURTS
dissection,dy-SEK-shun,dɪˈsɛkʃən,clinical,WASH
ischemia,is-KEE-mee-ah,ɪˈskimiə,clinical,HURTS
infarction,in-FARK-shun,ɪnˈfɑːrkʃən,clinical,WASH
reperfusion,REE-per-FYOO-zhun,ˌriːpərˈfjuːʒən,clinical,WASH
hypercholesterolemia,HY-per-koh-LES-ter-oh-LEE-mee-ah,ˌhaɪpərkəˌlɛstərəˈliːmiə,clinical,HURTS
hypertriglyceridemia,HY-per-try-GLIS-er-ih-DEE-mee-ah,ˌhaɪpərtraɪˌɡlɪsərəˈdiːmiə,clinical,HURTS
hypoalbuminemia,HY-poh-al-BYOO-mih-NEE-mee-ah,ˌhaɪpoʊælˌbjuːmɪˈniːmiə,clinical,HURTS
pneumonia,noo-MOHN-yah,nuːˈmoʊnjə,clinical,HURTS
bronchitis,brong-KY-tis,brɑːŋˈkaɪtɪs,clinical,WASH
bronchiectasis,brong-kee-EK-tah-sis,ˌbrɑːŋkiˈɛktəsɪs,clinical,WASH
emphysema,em-fih-SEE-mah,ˌɛmfɪˈsiːmə,clinical,WASH
pneumothorax,noo-moh-THOR-aks,ˌnuːmoʊˈθɔːræks,clinical,HURTS
hemothorax,hee-moh-THOR-aks,ˌhiːmoʊˈθɔːræks,clinical,WASH
pleural effusion,PLOO-ral eh-FYOO-zhun,ˈplʊrəl ɪˈfjuːʒən,clinical,WASH
pleurisy,PLOO-rih-see,ˈplʊrɪsi,clinical,HURTS
atelectasis,at-ih-LEK-tah-sis,ˌætəˈlɛktəsɪs,clinical,HURTS
pulmonary embolism,PUL-moh-nair-ee EM-bol-izm,ˈpʊlməˌnɛri ˈɛmbəˌlɪzəm,clinical,WASH
pulmonary edema,PUL-moh-nair-ee eh-DEE-mah,ˈpʊlməˌnɛri ɪˈdiːmə,clinical,HURTS
pulmonary fibrosis,PUL-moh-nair-ee fy-BROH-sis,ˈpʊlməˌnɛri faɪˈbroʊsɪs,clinical,WASH
sarcoidosis,SAR-koy-DOH-sis,ˌsɑːrkɔɪˈdoʊsɪs,clinical,HELPS
tuberculosis,too-BER-kyoo-LOH-sis,tuːˌbɜːrkjəˈloʊsɪs,clinical,WASH
